Date;Time of day;Total (grid load)[MWh]
May 9, 2022;12:00 AM;10,821
May 9, 2022;12:15 AM;10,712
May 9, 2022;12:30 AM;10,612
May 9, 2022;12:45 AM;10,541
May 9, 2022;1:00 AM;10,412
May 9, 2022;1:15 AM;10,392
May 9, 2022;1:30 AM;10,260
May 9, 2022;1:45 AM;10,259
May 9, 2022;2:00 AM;10,217
May 9, 2022;2:15 AM;10,231
May 9, 2022;2:30 AM;10,203
May 9, 2022;2:45 AM;10,228
May 9, 2022;3:00 AM;10,277
May 9, 2022;3:15 AM;10,280
May 9, 2022;3:30 AM;10,329
May 9, 2022;3:45 AM;10,378
May 9, 2022;4:00 AM;10,548
May 9, 2022;4:15 AM;10,610
May 9, 2022;4:30 AM;10,740
May 9, 2022;4:45 AM;10,962
May 9, 2022;5:00 AM;11,341
May 9, 2022;5:15 AM;11,488
May 9, 2022;5:30 AM;11,717
May 9, 2022;5:45 AM;12,094
May 9, 2022;6:00 AM;12,974
May 9, 2022;6:15 AM;13,483
May 9, 2022;6:30 AM;13,893
May 9, 2022;6:45 AM;14,253
May 9, 2022;7:00 AM;14,577
May 9, 2022;7:15 AM;14,851
May 9, 2022;7:30 AM;15,078
May 9, 2022;7:45 AM;15,367
May 9, 2022;8:00 AM;15,575
May 9, 2022;8:15 AM;15,783
May 9, 2022;8:30 AM;15,886
May 9, 2022;8:45 AM;15,979
May 9, 2022;9:00 AM;15,868
May 9, 2022;9:15 AM;15,946
May 9, 2022;9:30 AM;16,108
May 9, 2022;9:45 AM;16,190
May 9, 2022;10:00 AM;16,054
May 9, 2022;10:15 AM;16,145
May 9, 2022;10:30 AM;16,215
May 9, 2022;10:45 AM;16,412
May 9, 2022;11:00 AM;16,205
May 9, 2022;11:15 AM;16,319
May 9, 2022;11:30 AM;16,358
May 9, 2022;11:45 AM;16,399
May 9, 2022;12:00 PM;16,284
May 9, 2022;12:15 PM;16,252
May 9, 2022;12:30 PM;16,265
May 9, 2022;12:45 PM;16,269
May 9, 2022;1:00 PM;16,206
May 9, 2022;1:15 PM;16,158
May 9, 2022;1:30 PM;16,059
May 9, 2022;1:45 PM;15,868
May 9, 2022;2:00 PM;15,795
May 9, 2022;2:15 PM;15,813
May 9, 2022;2:30 PM;15,732
May 9, 2022;2:45 PM;15,628
May 9, 2022;3:00 PM;15,640
May 9, 2022;3:15 PM;15,602
May 9, 2022;3:30 PM;15,521
May 9, 2022;3:45 PM;15,424
May 9, 2022;4:00 PM;15,432
May 9, 2022;4:15 PM;15,302
May 9, 2022;4:30 PM;15,203
May 9, 2022;4:45 PM;15,167
May 9, 2022;5:00 PM;15,232
May 9, 2022;5:15 PM;15,177
May 9, 2022;5:30 PM;15,276
May 9, 2022;5:45 PM;15,265
May 9, 2022;6:00 PM;15,390
May 9, 2022;6:15 PM;15,301
May 9, 2022;6:30 PM;15,351
May 9, 2022;6:45 PM;15,436
May 9, 2022;7:00 PM;15,382
May 9, 2022;7:15 PM;15,298
May 9, 2022;7:30 PM;15,318
May 9, 2022;7:45 PM;15,275
May 9, 2022;8:00 PM;15,120
May 9, 2022;8:15 PM;14,999
May 9, 2022;8:30 PM;14,924
May 9, 2022;8:45 PM;14,844
May 9, 2022;9:00 PM;14,832
May 9, 2022;9:15 PM;14,784
May 9, 2022;9:30 PM;14,600
May 9, 2022;9:45 PM;14,352
May 9, 2022;10:00 PM;14,219
May 9, 2022;10:15 PM;14,026
May 9, 2022;10:30 PM;13,763
May 9, 2022;10:45 PM;13,509
May 9, 2022;11:00 PM;13,110
May 9, 2022;11:15 PM;12,926
May 9, 2022;11:30 PM;12,780
May 9, 2022;11:45 PM;12,678
